ลำดับ,ชื่อชุดการแสดง,words,match_sources
85,ระบำกินรีร่อน,"กินรี, ทำนอง, ท่วงทำนอง, สระอโนดาต, เขาไกรลาส, เพลงไทย, เล่นน้ำ",กินรี:name_exact; ทำนอง:desc_exact; ท่วงทำนอง:desc_exact; สระอโนดาต:desc_exact; เขาไกรลาส:desc_exact; เพลงไทย:desc_exact; เล่นน้ำ:desc_fuzzy
86,ระบำกฤดาภินิหาร,"กรมศิลปากร, การทอ, การรบ, การสอน, นางฟ้า, บทร้อง, ยมะ, ศุภลักษณ์, สากล, เกียรติศักดิ์ไทย, เทวดา",กรมศิลปากร:desc_exact; การทอ:desc_fuzzy; การรบ:desc_fuzzy; การสอน:desc_exact; นางฟ้า:desc_exact; บทร้อง:desc_exact; ยมะ:desc_exact; ศุภลักษณ์:desc_exact; สากล:desc_exact; เกียรติศักดิ์ไทย:desc_exact; เทวดา:desc_exact
87,รำซัดชาตรี,"การรบ, ดนตรีพื้นบ้าน, ดนตรีไทย, ตารี, ทำนอง, ท่วงทำนอง, ผู้แสดงฝ่ายชาย, ผู้แสดงฝ่ายหญิง, รำคู่, รำพัด, ละครชาตรี, ละครใน, เบิกโรง, ไหว้ครู",การรบ:desc_fuzzy; ดนตรีพื้นบ้าน:desc_exact; ดนตรีไทย:desc_exact; ตารี:name_fuzzy; ทำนอง:desc_exact; ท่วงทำนอง:desc_exact; ผู้แสดงฝ่ายชาย:desc_exact; ผู้แสดงฝ่ายหญิง:desc_exact; รำคู่:desc_exact; รำพัด:desc_fuzzy; ละครชาตรี:desc_exact; ละครใน:desc_fuzzy; เบิกโรง:desc_exact; ไหว้ครู:desc_exact
88,ระบำวิชนี,"คำร้อง, ทำนอง, ทำนองเพลง, นางใน, บทร้อง, มือขวา, ราชสำนัก, วิชนี, หญิงสาว, เพลงไทย",คำร้อง:desc_fuzzy; ทำนอง:desc_exact; ทำนองเพลง:desc_exact; นางใน:desc_exact; บทร้อง:desc_exact; มือขวา:desc_exact; ราชสำนัก:desc_exact; วิชนี:name_exact; หญิงสาว:desc_exact; เพลงไทย:desc_exact
89,เมขลา รามสูร,"จับนาง, ดวงแก้ว, ตำนาน, ทะเล, นางฟ้า, รามสูร, ฤดูฝน, วสันตฤดู, อสูร, เดินทาง, เทพธิดา, เทพนิยาย, เทพบุตร, เทวดา, เมขลา",จับนาง:desc_fuzzy; ดวงแก้ว:desc_exact; ตำนาน:desc_exact; ทะเล:desc_exact; นางฟ้า:desc_exact; รามสูร:name_exact; ฤดูฝน:desc_exact; วสันตฤดู:desc_exact; อสูร:name_fuzzy; เดินทาง:desc_exact; เทพธิดา:desc_exact; เทพนิยาย:desc_exact; เทพบุตร:desc_exact; เทวดา:desc_exact; เมขลา:name_exact
90,ระบำย่องหงิด,"กระบวนท่ารำ, คำร้อง, จับระบำ, ทำนอง, ทำนองเพลง, นางฟ้า, พี่เลี้ยง, ย่องหงิด, ละครใน, ศุภลักษณ์, อาสา, อุษา, เทพธิดา, เทวดา, เพลงไทย",กระบวนท่ารำ:desc_exact; คำร้อง:desc_exact; จับระบำ:desc_exact; ทำนอง:desc_exact; ทำนองเพลง:desc_exact; นางฟ้า:desc_exact; พี่เลี้ยง:desc_exact; ย่องหงิด:name_exact; ละครใน:desc_exact; ศุภลักษณ์:desc_exact; อาสา:desc_exact; อุษา:desc_exact; เทพธิดา:desc_exact; เทวดา:desc_exact; เพลงไทย:desc_exact
91,ระบำดาวดึงส์,"จับระบำ, ดาวดึงส์, ทิพยวิมาน, บรรพต, พระลอ, พระอินทร์, ระบำมาตรฐาน, รำมาตรฐาน, ละครดึกดำบรรพ์, สังข์ทอง, เทพธิดา, เทพบุตร, แต่งกายยืนเครื่องพระ",จับระบำ:desc_exact; ดาวดึงส์:name_exact; ทิพยวิมาน:desc_exact; บรรพต:desc_fuzzy; พระลอ:desc_fuzzy; พระอินทร์:desc_exact; ระบำมาตรฐาน:desc_exact; รำมาตรฐาน:desc_fuzzy; ละครดึกดำบรรพ์:desc_exact; สังข์ทอง:desc_exact; เทพธิดา:desc_exact; เทพบุตร:desc_exact; แต่งกายยืนเครื่องพระ:desc_exact
92,ระบำศรีชยสิงห์,"กาญจนบุรี, จารึก, นางอัปสราบายน, บุรี, ปราสาทพระขรรค์, ปราสาทเมืองสิงห์, พระเจ้าชัยวรมัน, ภาพจำหลัก, ริมแม่น้ำ, เครื่องแบบ, แควน้อย, แม่น้ำ",กาญจนบุรี:desc_exact; จารึก:desc_exact; นางอัปสราบายน:desc_exact; บุรี:desc_exact; ปราสาทพระขรรค์:desc_exact; ปราสาทเมืองสิงห์:desc_exact; พระเจ้าชัยวรมัน:desc_exact; ภาพจำหลัก:desc_exact; ริมแม่น้ำ:desc_exact; เครื่องแบบ:desc_fuzzy; แควน้อย:desc_exact; แม่น้ำ:desc_exact
93,รำแม่บท,"กระบวนท่ารำ, บทร้อง, ระบำมาตรฐาน, รำมาตรฐาน, ล้านนา, แต่งกายยืนเครื่องพระ, แม่บท",กระบวนท่ารำ:desc_exact; บทร้อง:desc_exact; ระบำมาตรฐาน:desc_fuzzy; รำมาตรฐาน:desc_exact; ล้านนา:desc_fuzzy; แต่งกายยืนเครื่องพระ:desc_exact; แม่บท:name_exact
94,รำฝรั่งคู่,"การรบ, จีนรัว, จีนรำพัด, ตะเขิ่ง, ทำนอง, ทำนองเพลง, รำคู่, รำพัด, เจ้าเซ็น, เพลงฉิ่ง, เพลงฝรั่งรำเท้า, เพลงเร็ว, เพลงไทย, แต่งกายยืนเครื่องพระ",การรบ:desc_fuzzy; จีนรัว:desc_exact; จีนรำพัด:desc_exact; ตะเขิ่ง:desc_exact; ทำนอง:desc_exact; ทำนองเพลง:desc_fuzzy; รำคู่:desc_exact; รำพัด:desc_exact; เจ้าเซ็น:desc_exact; เพลงฉิ่ง:desc_exact; เพลงฝรั่งรำเท้า:desc_exact; เพลงเร็ว:desc_exact; เพลงไทย:desc_exact; แต่งกายยืนเครื่องพระ:desc_exact
95,รำประเลง,"ทำนอง, ทำนองเพลง, ปิดหน้า, รังควาญ, ละครใน, หางนกยูง, อิทธิฤทธิ์, เทวดา, เบิกโรง, เพลงกลม, เพลงชำนาญ, เพลงหน้าพาทย์, เพลงไทย, เสนียดจัญไร, โคมเวียน",ทำนอง:desc_exact; ทำนองเพลง:desc_exact; ปิดหน้า:desc_exact; รังควาญ:desc_exact; ละครใน:desc_exact; หางนกยูง:desc_exact; อิทธิฤทธิ์:desc_exact; เทวดา:desc_exact; เบิกโรง:desc_exact; เพลงกลม:desc_exact; เพลงชำนาญ:desc_exact; เพลงหน้าพาทย์:desc_exact; เพลงไทย:name_fuzzy; เสนียดจัญไร:desc_exact; โคมเวียน:desc_exact
96,รำเบิกโรงดอกไม้เงินทอง,"ดอกไม้, ดอกไม้เงิน, ทำนอง, ทำนองเพลง, บทร้อง, พระบาทสมเด็จพระจอมเกล้าเจ้าอยู่หัว, พระบาทสมเด็จพระจุลจอมเกล้าเจ้าอยู่หัว, พระลอ, มือขวา, มือซ้าย, ละครใน, วันทอง, เบิกโรง, เพลงไทย, แต่งกายยืนเครื่องพระ",ดอกไม้:name_exact; ดอกไม้เงิน:name_exact; ทำนอง:desc_exact; ทำนองเพลง:desc_exact; บทร้อง:desc_exact; พระบาทสมเด็จพระจอมเกล้าเจ้าอยู่หัว:desc_exact; พระบาทสมเด็จพระจุลจอมเกล้าเจ้าอยู่หัว:desc_fuzzy; พระลอ:desc_fuzzy; มือขวา:desc_exact; มือซ้าย:desc_exact; ละครใน:desc_exact; วันทอง:name_fuzzy; เบิกโรง:name_exact; เพลงไทย:desc_exact; แต่งกายยืนเครื่องพระ:desc_exact
97,หนุมานจับนางสุพรรณมัจฉา,"กระบวนท่ารำ, กรุงลงกา, การเกี้ยวพาราสี, การไถ, จับนาง, นางสีดา, บริวาร, พระราม, มหาสมุทร, รามเกียรติ์, วานร, สุพรรณมัจฉา, หนุมาน, ออกเดินทาง, เดินทาง",กระบวนท่ารำ:desc_fuzzy; กรุงลงกา:desc_exact; การเกี้ยวพาราสี:desc_exact; การไถ:desc_fuzzy; จับนาง:name_exact; นางสีดา:desc_exact; บริวาร:desc_exact; พระราม:desc_fuzzy; มหาสมุทร:desc_exact; รามเกียรติ์:desc_exact; วานร:desc_exact; สุพรรณมัจฉา:name_exact; หนุมาน:name_exact; ออกเดินทาง:desc_fuzzy; เดินทาง:desc_exact
98,หนุมานจับนางเบญกาย,"การเกี้ยวพาราสี, การไถ, จับนาง, ทศกัณฐ์, นางสีดา, พระยา, พระราม, ยักษิณี, รามเกียรติ์, ลอยน้ำ, วานร, หนุมาน, หลบหนี, หายตัว, เบญกาย",การเกี้ยวพาราสี:desc_fuzzy; การไถ:desc_fuzzy; จับนาง:name_exact; ทศกัณฐ์:desc_exact; นางสีดา:desc_exact; พระยา:desc_fuzzy; พระราม:desc_exact; ยักษิณี:desc_exact; รามเกียรติ์:desc_exact; ลอยน้ำ:desc_exact; วานร:desc_exact; หนุมาน:name_exact; หลบหนี:desc_exact; หายตัว:desc_fuzzy; เบญกาย:name_exact
99,ระบำนพรัตน์,"ทับทิม, บุษราคัม, มรกต, อัญมณี, เพทาย, โกเมน, ไพฑูรย์",ทับทิม:desc_exact; บุษราคัม:desc_exact; มรกต:desc_exact; อัญมณี:desc_exact; เพทาย:desc_exact; โกเมน:desc_exact; ไพฑูรย์:desc_exact
100,รำพลายชุมพล,"ขุนช้าง, ขุนแผน, ทำนอง, ทำนองเพลง, พระไวย, พลายชุมพล, รำเดี่ยว, ละครเสภา, วาจา, ออกรบ, เพลงมอญดูดาว, เพลงไทย, แก้แค้น, แตกทัพ, แต่งตัว",ขุนช้าง:desc_exact; ขุนแผน:desc_exact; ทำนอง:desc_exact; ทำนองเพลง:desc_exact; พระไวย:desc_exact; พลายชุมพล:name_exact; รำเดี่ยว:desc_exact; ละครเสภา:desc_exact; วาจา:desc_exact; ออกรบ:desc_exact; เพลงมอญดูดาว:desc_exact; เพลงไทย:desc_exact; แก้แค้น:desc_exact; แตกทัพ:desc_exact; แต่งตัว:desc_exact
101,ระบำทวารวดี,"จิตรกรรม, ดนตรีพื้นบ้าน, ดนตรีไทย, ประติมากรรม, พุทธศตวรรษ, สมัยทวารวดี, เครื่องแบบ, เสียงดนตรี, โบราณวัตถุ",จิตรกรรม:desc_exact; ดนตรีพื้นบ้าน:desc_exact; ดนตรีไทย:desc_exact; ประติมากรรม:desc_exact; พุทธศตวรรษ:desc_exact; สมัยทวารวดี:desc_exact; เครื่องแบบ:desc_fuzzy; เสียงดนตรี:desc_exact; โบราณวัตถุ:desc_exact
