ลำดับ,ชื่อชุดการแสดง,words,match_sources
1,กรุงเทพ,"กระบวนท่ารำ, กรุงเทพ, การรบ, กินเนสส์บุ๊ค, นางฟ้า, วาดภาพ, หนังใหญ่, ออกรบ, เทวดา",กระบวนท่ารำ:desc_fuzzy; กรุงเทพ:name_exact; การรบ:desc_fuzzy; กินเนสส์บุ๊ค:desc_exact; นางฟ้า:desc_exact; วาดภาพ:desc_exact; หนังใหญ่:desc_exact; ออกรบ:desc_fuzzy; เทวดา:desc_exact
2,กีปัสเรนัง,"ขบวนแห่, ขับลำ, ขับไล่, ชาวพื้นเมือง, ธงไทย, บุหงา, บุหรงซีงอ, ปัดเป่า, ปัตตานี, ฝากตัว, พัดเรนัง, ภาคใต้, มลายู",ขบวนแห่:desc_exact; ขับลำ:desc_fuzzy; ขับไล่:desc_exact; ชาวพื้นเมือง:desc_exact; ธงไทย:desc_fuzzy; บุหงา:desc_fuzzy; บุหรงซีงอ:desc_exact; ปัดเป่า:desc_exact; ปัตตานี:desc_exact; ฝากตัว:desc_fuzzy; พัดเรนัง:desc_exact; ภาคใต้:desc_exact; มลายู:desc_exact
3,จตุรภาคี,"ตารี, ตารีกีปัส, ภาคกลาง, ภาคตะวันออกเฉียงเหนือ, ภาคเหนือ, ภาคใต้, สี่ภาค, เถิดเทิง",ตารี:desc_exact; ตารีกีปัส:desc_exact; ภาคกลาง:desc_exact; ภาคตะวันออกเฉียงเหนือ:desc_exact; ภาคเหนือ:desc_exact; ภาคใต้:desc_exact; สี่ภาค:desc_exact; เถิดเทิง:desc_exact
4,เจ้าพระยานที,"การรบ, ชาวนา, ธงไทย, ฝั่งน้ำ, พระยา, สายน้ำ, เจ้าพระยา, แผ่อิทธิพล",การรบ:desc_fuzzy; ชาวนา:desc_fuzzy; ธงไทย:desc_fuzzy; ฝั่งน้ำ:desc_exact; พระยา:name_exact; สายน้ำ:desc_exact; เจ้าพระยา:name_exact; แผ่อิทธิพล:desc_exact
5,นบนที,"กระทุ้ง, ขอขมา, ทางธรรมชาติ, ผู้มีพระคุณ, พระแม่คงคา, ลอยกระทง, สะล้อ, สายน้ำ, สิ่งศักดิ์สิทธิ์",กระทุ้ง:desc_fuzzy; ขอขมา:desc_exact; ทางธรรมชาติ:desc_fuzzy; ผู้มีพระคุณ:desc_fuzzy; พระแม่คงคา:desc_exact; ลอยกระทง:desc_exact; สะล้อ:desc_fuzzy; สายน้ำ:desc_exact; สิ่งศักดิ์สิทธิ์:desc_exact
6,ชาวดอย,"การละเล่นพื้นเมือง, ชาวพื้นเมือง, ทางธรรมชาติ, ภาคเหนือ, เกษตรกรรม",การละเล่นพื้นเมือง:desc_exact; ชาวพื้นเมือง:name_exact; ทางธรรมชาติ:desc_fuzzy; ภาคเหนือ:desc_exact; เกษตรกรรม:desc_exact
7,ชาติพันธุ์สราญ,"กลุ่มชาติพันธุ์, งานรื่นเริง, ชาติพันธุ์, ชาวพื้นเมือง, นครปฐม, พระยา, ภาคใต้, ร่มพระบารมี, ลาวครั่ง, ลาวเวียง, อินเดีย, ไทยจีน, ไทยทรงดำ, ไทยรามัญ",กลุ่มชาติพันธุ์:name_fuzzy; งานรื่นเริง:desc_fuzzy; ชาติพันธุ์:name_exact; ชาวพื้นเมือง:name_fuzzy; นครปฐม:desc_exact; พระยา:desc_fuzzy; ภาคใต้:desc_fuzzy; ร่มพระบารมี:desc_exact; ลาวครั่ง:desc_exact; ลาวเวียง:desc_exact; อินเดีย:desc_fuzzy; ไทยจีน:desc_exact; ไทยทรงดำ:desc_exact; ไทยรามัญ:desc_exact
8,นาฏ ณ วัง,"การทอ, การสอน, พระยา, พระราชวังบวรสถานมงคล, พระราม, วังหน้า, หนังใหญ่, ออกรบ, เคลื่อนไหว, เวที",การทอ:desc_fuzzy; การสอน:desc_fuzzy; พระยา:desc_fuzzy; พระราชวังบวรสถานมงคล:desc_exact; พระราม:desc_fuzzy; วังหน้า:desc_exact; หนังใหญ่:desc_exact; ออกรบ:desc_fuzzy; เคลื่อนไหว:desc_exact; เวที:desc_exact
9,ตะกล้อล้อท่า,"กระบวนท่ารำ, การรบ, การละเล่นพื้นเมือง, ชาวพื้นเมือง, ตะกร้อ, ตีลังกา, ธงไทย, นานาชาติ, ระดับชาติ, ศีรษะ, สะล้อ, สากล, แม่ท่า, แม่บท",กระบวนท่ารำ:desc_fuzzy; การรบ:desc_fuzzy; การละเล่นพื้นเมือง:desc_exact; ชาวพื้นเมือง:desc_exact; ตะกร้อ:name_fuzzy; ตีลังกา:desc_exact; ธงไทย:desc_fuzzy; นานาชาติ:desc_exact; ระดับชาติ:desc_exact; ศีรษะ:desc_exact; สะล้อ:name_fuzzy; สากล:desc_exact; แม่ท่า:desc_exact; แม่บท:desc_fuzzy
10,นักษัตร,"กระบวนท่ารำ, ธงไทย, นักษัตร, เคลื่อนไหว, เวที",กระบวนท่ารำ:desc_fuzzy; ธงไทย:desc_fuzzy; นักษัตร:name_exact; เคลื่อนไหว:desc_exact; เวที:desc_exact
11,ฟ้อนขันดอก,"กระบวนท่ารำ, การโปรย, ขันดอก, ดอกไม้, ภาคเหนือ, ล้านนา",กระบวนท่ารำ:desc_fuzzy; การโปรย:desc_exact; ขันดอก:name_exact; ดอกไม้:desc_exact; ภาคเหนือ:desc_exact; ล้านนา:desc_exact
12,นาฏยมวยไทย,"ต้นขา, ธงไทย, บรรพต, บรรพบุรุษ, ป้องกันตัว, มวยโบราณ, มวยไทย, ศิลปะป้องกันตัว, แปลงตัว",ต้นขา:desc_fuzzy; ธงไทย:desc_fuzzy; บรรพต:desc_fuzzy; บรรพบุรุษ:desc_exact; ป้องกันตัว:desc_exact; มวยโบราณ:name_exact; มวยไทย:name_exact; ศิลปะป้องกันตัว:desc_exact; แปลงตัว:desc_fuzzy
13,ผืนไท,"การทอ, ธงไทย, นักษัตร, พระมหากษัตริย์, ภาคใต้, ออกรบ, อาณาประชาราษฎร์, เคลื่อนไหว, เวที, ไตรรงค์",การทอ:desc_fuzzy; ธงไทย:desc_exact; นักษัตร:desc_exact; พระมหากษัตริย์:desc_exact; ภาคใต้:desc_fuzzy; ออกรบ:desc_fuzzy; อาณาประชาราษฎร์:desc_exact; เคลื่อนไหว:desc_exact; เวที:desc_exact; ไตรรงค์:desc_exact
14,ฟ้อนลีลาวดี,"ดนตรีพื้นบ้าน, ดนตรีไทย, ตารี, ต้นลีลาวดี, พระลอ, พระอุโบสถ, วังหน้า, สุทธาวาส",ดนตรีพื้นบ้าน:desc_exact; ดนตรีไทย:desc_exact; ตารี:desc_fuzzy; ต้นลีลาวดี:name_fuzzy; พระลอ:desc_fuzzy; พระอุโบสถ:desc_exact; วังหน้า:desc_exact; สุทธาวาส:desc_exact
15,ระบำม้า,"การทอ, การสอน, ธิเบศร์, บุรี, ยมะ, ระบำมาตรฐาน, ออกเดินทาง, เชษฐา, เดินทาง",การทอ:desc_fuzzy; การสอน:desc_exact; ธิเบศร์:desc_exact; บุรี:desc_exact; ยมะ:desc_exact; ระบำมาตรฐาน:name_fuzzy; ออกเดินทาง:desc_exact; เชษฐา:desc_fuzzy; เดินทาง:desc_exact
16,วิรัชสราญรมย์,"ธงไทย, รัชกาล, รัชฎา, สากล, เพลงสากล, เพลงไทย",ธงไทย:desc_fuzzy; รัชกาล:desc_exact; รัชฎา:desc_fuzzy; สากล:desc_exact; เพลงสากล:desc_exact; เพลงไทย:desc_exact
17,ลายเกราะ,"ดนตรีพื้นบ้าน, ดนตรีไทย, พระลอ, ภาคอีสาน, อีสาน, เกราะลอ, เครื่องดนตรีพื้นบ้าน, เครื่องดนตรีพื้นเมือง",ดนตรีพื้นบ้าน:desc_exact; ดนตรีไทย:desc_exact; พระลอ:desc_fuzzy; ภาคอีสาน:desc_exact; อีสาน:desc_exact; เกราะลอ:name_fuzzy; เครื่องดนตรีพื้นบ้าน:desc_exact; เครื่องดนตรีพื้นเมือง:desc_exact
18,รับขวัญข้าว,"การทอ, การทำขวัญ, ชาวพื้นเมือง, ธัญญาหาร, ผู้มีพระคุณ, พืชพรรณ, สะล้อ, อาหาร, เวที",การทอ:desc_fuzzy; การทำขวัญ:desc_exact; ชาวพื้นเมือง:name_fuzzy; ธัญญาหาร:desc_exact; ผู้มีพระคุณ:desc_exact; พืชพรรณ:desc_exact; สะล้อ:desc_fuzzy; อาหาร:desc_exact; เวที:desc_exact
19,พนาธาร,"ของป่า, ทางธรรมชาติ, เคลื่อนไหว",ของป่า:desc_exact; ทางธรรมชาติ:desc_fuzzy; เคลื่อนไหว:desc_exact
20,ล่องใต้,"การรบ, ภาคใต้, ล่องใต้, สะล้อ",การรบ:desc_fuzzy; ภาคใต้:desc_exact; ล่องใต้:name_exact; สะล้อ:desc_fuzzy
21,ลีลาหมากแก๊ป,"ชาวพื้นเมือง, ดนตรีพื้นบ้าน, ดนตรีไทย, สอดแทรก, หญิงสาว, หมากกั๊บแก๊บ, อีสาน, เครื่องดนตรีพื้นบ้าน, เครื่องดนตรีพื้นเมือง, ไม้ยาว, ไม้สั้น",ชาวพื้นเมือง:desc_exact; ดนตรีพื้นบ้าน:desc_exact; ดนตรีไทย:desc_exact; สอดแทรก:desc_exact; หญิงสาว:desc_exact; หมากกั๊บแก๊บ:desc_fuzzy; อีสาน:desc_exact; เครื่องดนตรีพื้นบ้าน:desc_exact; เครื่องดนตรีพื้นเมือง:desc_exact; ไม้ยาว:desc_exact; ไม้สั้น:desc_exact
22,ระบำอยุธยา,"การทอ, การสอน, ระบำโบราณคดี, ศิลปหัตถกรรม, ศิลปินแห่งชาติ, อยุธยา",การทอ:desc_fuzzy; การสอน:desc_exact; ระบำโบราณคดี:desc_exact; ศิลปหัตถกรรม:desc_exact; ศิลปินแห่งชาติ:desc_exact; อยุธยา:name_exact
23,สักการะเทวราช,"กรุงรัตนโกสินทร์, การรบ, งานประติมากรรม, นักษัตร, ประติมากรรม, พระพุทธรูป, พระมหากษัตริย์, พระราชพิธี, พระราม, พระอินทร์, ลายเส้น, อยุธยา, อินทราภิเษก, เครื่องประดับ, เทวดา",กรุงรัตนโกสินทร์:desc_exact; การรบ:desc_fuzzy; งานประติมากรรม:desc_exact; นักษัตร:desc_exact; ประติมากรรม:desc_exact; พระพุทธรูป:desc_exact; พระมหากษัตริย์:desc_exact; พระราชพิธี:desc_exact; พระราม:desc_fuzzy; พระอินทร์:desc_exact; ลายเส้น:desc_exact; อยุธยา:desc_exact; อินทราภิเษก:desc_exact; เครื่องประดับ:desc_exact; เทวดา:name_fuzzy
24,ออเจ้าชาวกรุงศรี,"การนุ่งห่ม, กุลสตรี, ชาวพื้นเมือง, ดนตรีพื้นบ้าน, ดนตรีไทย, วันวาน, เครื่องประดับ, เสียงดนตรี",การนุ่งห่ม:desc_exact; กุลสตรี:desc_exact; ชาวพื้นเมือง:name_exact; ดนตรีพื้นบ้าน:desc_exact; ดนตรีไทย:desc_exact; วันวาน:desc_exact; เครื่องประดับ:desc_exact; เสียงดนตรี:desc_exact
25,พลองไม้สั้น,"กระทุ้ง, กระบวนท่ารำ, การต่อสู้, คู่ต่อสู้, ตัวต่อตัว, ต่อสู้, ธงไทย, ประชิดตัว, ลูกไม้, สีน้ำเงิน, อาวุธ, ไม้สั้น",กระทุ้ง:desc_exact; กระบวนท่ารำ:desc_fuzzy; การต่อสู้:desc_exact; คู่ต่อสู้:desc_exact; ตัวต่อตัว:desc_exact; ต่อสู้:desc_exact; ธงไทย:desc_fuzzy; ประชิดตัว:desc_exact; ลูกไม้:desc_exact; สีน้ำเงิน:desc_exact; อาวุธ:desc_exact; ไม้สั้น:name_exact
26,ระบำชาวนา,"กสิกรรม, การรบ, การไถ, ชาวนา, ชาวพื้นเมือง, ผู้แสดงฝ่ายหญิง, สะล้อ",กสิกรรม:desc_exact; การรบ:desc_fuzzy; การไถ:desc_exact; ชาวนา:name_exact; ชาวพื้นเมือง:name_exact; ผู้แสดงฝ่ายหญิง:desc_fuzzy; สะล้อ:desc_fuzzy
27,สยามภารตะ,"กระบวนท่ารำ, การไถ, ธงไทย, นาฏศิลป์อินเดีย, ภารตนาฏยัม, อินเดีย, เคลื่อนไหว, โอดิสสี",กระบวนท่ารำ:desc_fuzzy; การไถ:desc_fuzzy; ธงไทย:desc_fuzzy; นาฏศิลป์อินเดีย:desc_exact; ภารตนาฏยัม:desc_exact; อินเดีย:desc_exact; เคลื่อนไหว:desc_exact; โอดิสสี:desc_exact
28,มวยคาดเชือก,"กระบวนท่ารำ, การต่อสู้, ความคล่องแคล่ว, ต่อสู้, มวยโบราณ, มวยไทย, รับใช้, แม่ไม้มวย",กระบวนท่ารำ:desc_fuzzy; การต่อสู้:desc_exact; ความคล่องแคล่ว:desc_fuzzy; ต่อสู้:desc_exact; มวยโบราณ:name_exact; มวยไทย:name_exact; รับใช้:desc_exact; แม่ไม้มวย:desc_exact
29,รำเถิดเทิง,"กลองยาว, การตีกลอง, งานรื่นเริง, หยอกล้อ, เถิดเทิง",กลองยาว:desc_exact; การตีกลอง:desc_exact; งานรื่นเริง:desc_fuzzy; หยอกล้อ:desc_exact; เถิดเทิง:name_exact
30,รำวงมาตรฐาน,"การละเล่นพื้นเมือง, ชาวพื้นเมือง, ดอกไม้, ตามเพลง, ภาคกลาง, เพลงคืนเดือนหงาย, เพลงงามแสงเดือน, เพลงชาวไทย, เพลงดวงจันทร์ขวัญฟ้า, เพลงดวงจันทร์วันเพ็ญ, เพลงดอกไม้ของชาติ, เพลงบูชานักรบ, เพลงยอดชายใจหาญ, เพลงรำซิมารำ, เพลงไทย",การละเล่นพื้นเมือง:desc_exact; ชาวพื้นเมือง:desc_exact; ดอกไม้:desc_exact; ตามเพลง:desc_exact; ภาคกลาง:desc_exact; เพลงคืนเดือนหงาย:desc_exact; เพลงงามแสงเดือน:desc_exact; เพลงชาวไทย:desc_exact; เพลงดวงจันทร์ขวัญฟ้า:desc_exact; เพลงดวงจันทร์วันเพ็ญ:desc_exact; เพลงดอกไม้ของชาติ:desc_exact; เพลงบูชานักรบ:desc_exact; เพลงยอดชายใจหาญ:desc_exact; เพลงรำซิมารำ:desc_exact; เพลงไทย:desc_exact
31,รำสีนวล,"กุลสตรี, ขับร้อง, บทร้อง, เพลงไทย",กุลสตรี:desc_exact; ขับร้อง:desc_exact; บทร้อง:desc_fuzzy; เพลงไทย:desc_exact
32,รองเง็ง,"การละเล่นพื้นเมือง, ค้าขาย, งานรื่นเริง, ชาวพื้นเมือง, ธงไทย, ภาคใต้, มลายู, โปรตุเกส",การละเล่นพื้นเมือง:desc_exact; ค้าขาย:desc_exact; งานรื่นเริง:desc_exact; ชาวพื้นเมือง:desc_exact; ธงไทย:desc_fuzzy; ภาคใต้:desc_exact; มลายู:desc_exact; โปรตุเกส:desc_exact
33,โนรา,"การขับร้อง, การรบ, กินรี, ขึ้นทะเบียน, ชาวพื้นเมือง, บูชาครู, ภาคใต้, มีแบบแผน, มโนราห์, ยูเนสโก",การขับร้อง:desc_fuzzy; การรบ:desc_fuzzy; กินรี:desc_exact; ขึ้นทะเบียน:desc_exact; ชาวพื้นเมือง:desc_exact; บูชาครู:desc_exact; ภาคใต้:desc_exact; มีแบบแผน:desc_exact; มโนราห์:name_exact; ยูเนสโก:desc_exact
34,ระบำตารีกีปัส,"ดนตรีพื้นบ้าน, ดนตรีไทย, ตารี, ตารีกีปัส, ธงไทย, ภาคใต้, เครื่องดนตรีตะวันตก, เครื่องดนตรีพื้นบ้าน, เครื่องดนตรีพื้นเมือง, เครื่องประกอบจังหวะ, เครื่องประดับ, เพลงไทย",ดนตรีพื้นบ้าน:desc_exact; ดนตรีไทย:desc_exact; ตารี:name_exact; ตารีกีปัส:name_exact; ธงไทย:desc_fuzzy; ภาคใต้:desc_exact; เครื่องดนตรีตะวันตก:desc_exact; เครื่องดนตรีพื้นบ้าน:desc_fuzzy; เครื่องดนตรีพื้นเมือง:desc_exact; เครื่องประกอบจังหวะ:desc_exact; เครื่องประดับ:desc_fuzzy; เพลงไทย:desc_exact
35,ระบำตารีบุหงา,"กระบวนท่ารำ, ของที่ระลึก, งานแต่งงาน, ชาวพื้นเมือง, ช่อดอกไม้, ดอกไม้, ตารี, ตารีบุหงา, บุหงา, พื้นบ้านภาคใต้, ภาคใต้, ภาษามลายู, มลายู, มุสลิม, เครื่องแบบ",กระบวนท่ารำ:desc_fuzzy; ของที่ระลึก:desc_exact; งานแต่งงาน:desc_exact; ชาวพื้นเมือง:desc_exact; ช่อดอกไม้:desc_exact; ดอกไม้:desc_exact; ตารี:name_exact; ตารีบุหงา:name_exact; บุหงา:name_exact; พื้นบ้านภาคใต้:desc_exact; ภาคใต้:desc_exact; ภาษามลายู:desc_exact; มลายู:desc_exact; มุสลิม:desc_exact; เครื่องแบบ:desc_fuzzy
36,กลองสะบัดชัย,"กลองสะบัดชัย, การตีกลอง, ขบวนแห่, ข้าศึก, ความคล่องแคล่ว, ชาวพื้นเมือง, ธงไทย, พิธีทางศาสนา, ภาคเหนือ, ล้านนา, สงคราม, ออกรบ",กลองสะบัดชัย:name_exact; การตีกลอง:desc_exact; ขบวนแห่:desc_exact; ข้าศึก:desc_exact; ความคล่องแคล่ว:desc_exact; ชาวพื้นเมือง:desc_exact; ธงไทย:desc_fuzzy; พิธีทางศาสนา:desc_exact; ภาคเหนือ:desc_exact; ล้านนา:desc_exact; สงคราม:desc_exact; ออกรบ:desc_exact
37,ระบำร่อนแร่,"การรบ, การร่อนแร่, งานรื่นเริง, ดนตรีพื้นบ้าน, ดนตรีไทย, ธงไทย, ภาคใต้, หญิงสาว, แหล่งน้ำ",การรบ:desc_fuzzy; การร่อนแร่:desc_exact; งานรื่นเริง:desc_fuzzy; ดนตรีพื้นบ้าน:desc_exact; ดนตรีไทย:desc_exact; ธงไทย:desc_fuzzy; ภาคใต้:desc_exact; หญิงสาว:desc_exact; แหล่งน้ำ:desc_exact
38,ฟ้อนจันทราพาฝัน,"ชาวพื้นเมือง, ชาวเหนือ, ทำนอง, ทำนองเพลง, ท่วงทำนอง, บทร้อง, ศิลปินแห่งชาติ, หญิงสาว, ออกรบ, เพลงลาวคำหอม, เพลงไทย, แสงจันทร์",ชาวพื้นเมือง:desc_exact; ชาวเหนือ:desc_exact; ทำนอง:desc_exact; ทำนองเพลง:desc_exact; ท่วงทำนอง:desc_exact; บทร้อง:desc_exact; ศิลปินแห่งชาติ:desc_exact; หญิงสาว:desc_exact; ออกรบ:desc_fuzzy; เพลงลาวคำหอม:desc_exact; เพลงไทย:desc_exact; แสงจันทร์:desc_exact
39,ฟ้อนดวงเดือน,"การเกี้ยวพาราสี, คำร้อง, ชายหนุ่ม, ทำนอง, พระนิพนธ์, สำเนียง, หญิงสาว, เพลงอัตราจังหวะสองชั้น, เพลงไทย",การเกี้ยวพาราสี:desc_exact; คำร้อง:desc_exact; ชายหนุ่ม:desc_exact; ทำนอง:desc_exact; พระนิพนธ์:desc_exact; สำเนียง:desc_exact; หญิงสาว:desc_exact; เพลงอัตราจังหวะสองชั้น:desc_exact; เพลงไทย:desc_exact
40,ฟ้อนเทียน,"กลางคืน, จุดไฟ, ภาคเหนือ, หญิงสาว, เคลื่อนไหว, เพลงไทย",กลางคืน:desc_exact; จุดไฟ:desc_exact; ภาคเหนือ:desc_exact; หญิงสาว:desc_exact; เคลื่อนไหว:desc_exact; เพลงไทย:desc_exact
41,ฟ้อนที,"ชาวพื้นเมือง, ชาวเหนือ, ดนตรีพื้นบ้าน, ดนตรีไทย, ธงไทย, ภาคเหนือ, แม่ฮ่องสอน",ชาวพื้นเมือง:desc_exact; ชาวเหนือ:desc_fuzzy; ดนตรีพื้นบ้าน:desc_exact; ดนตรีไทย:desc_exact; ธงไทย:desc_fuzzy; ภาคเหนือ:desc_exact; แม่ฮ่องสอน:desc_exact
42,ฟ้อนเล็บ,"ต้นรัง, ทำนองเพลง, ธงไทย, บทร้อง, ภาคเหนือ, สีทอง, เพลงไทย",ต้นรัง:desc_fuzzy; ทำนองเพลง:desc_fuzzy; ธงไทย:desc_fuzzy; บทร้อง:desc_exact; ภาคเหนือ:desc_exact; สีทอง:desc_exact; เพลงไทย:desc_exact
43,ฟ้อนมาลัย,"กรมศิลปากร, ข้าหลวง, ชั้นเดียว, ดอกไม้, ทำนอง, ทำนองเพลง, พญาผานอง, พระชายา, พระบาทสมเด็จพระจุลจอมเกล้าเจ้าอยู่หัว, ละครพันทาง, สำเนียง, เจ้าดารารัศมี, เชียงใหม่, เพลงสำเนียงลาว, โรงละครแห่งชาติ",กรมศิลปากร:desc_exact; ข้าหลวง:desc_exact; ชั้นเดียว:desc_exact; ดอกไม้:desc_exact; ทำนอง:desc_exact; ทำนองเพลง:desc_exact; พญาผานอง:desc_exact; พระชายา:desc_exact; พระบาทสมเด็จพระจุลจอมเกล้าเจ้าอยู่หัว:desc_exact; ละครพันทาง:desc_exact; สำเนียง:desc_exact; เจ้าดารารัศมี:desc_exact; เชียงใหม่:desc_exact; เพลงสำเนียงลาว:desc_exact; โรงละครแห่งชาติ:desc_exact
44,ฟ้อนผาง,"จุดไฟ, ชาวพื้นเมือง, ธงไทย, ผางประทีป, ภาคเหนือ, ภาชนะดินเผา, ล้านนา",จุดไฟ:desc_exact; ชาวพื้นเมือง:desc_exact; ธงไทย:desc_fuzzy; ผางประทีป:desc_exact; ภาคเหนือ:desc_exact; ภาชนะดินเผา:desc_exact; ล้านนา:desc_exact
45,ฟ้อนรัก,"ท้าวพิชัยพิษณุกร, นักษัตร, นางรื่น, นางโรย, นายขวัญ, นายแก้ว, บทร้อง, พระนิพนธ์, พระพี่เลี้ยง, พระราชธิดา, พระลอ, พระเพื่อน, พระแพง, พี่เลี้ยง, ละครพันทาง",ท้าวพิชัยพิษณุกร:desc_exact; นักษัตร:desc_exact; นางรื่น:desc_exact; นางโรย:desc_exact; นายขวัญ:desc_exact; นายแก้ว:desc_exact; บทร้อง:desc_exact; พระนิพนธ์:desc_exact; พระพี่เลี้ยง:desc_exact; พระราชธิดา:desc_exact; พระลอ:desc_exact; พระเพื่อน:desc_exact; พระแพง:desc_exact; พี่เลี้ยง:desc_exact; ละครพันทาง:desc_exact
46,กระทบสากหรือกระทบไม้,"กระทบไม้, การทอ, การละเล่นพื้นเมือง, กิจวัตร, ชาวพื้นเมือง, ต้นขา, ธงไทย, พระจันทร์, ภาคอีสาน, สากตำข้าว, สุรินทร์, อีสาน, เครื่องประกอบจังหวะ, เครื่องประดับ, เต้นสาก",กระทบไม้:name_exact; การทอ:desc_fuzzy; การละเล่นพื้นเมือง:desc_exact; กิจวัตร:desc_exact; ชาวพื้นเมือง:desc_exact; ต้นขา:desc_fuzzy; ธงไทย:desc_fuzzy; พระจันทร์:desc_exact; ภาคอีสาน:desc_exact; สากตำข้าว:desc_exact; สุรินทร์:desc_exact; อีสาน:desc_exact; เครื่องประกอบจังหวะ:desc_exact; เครื่องประดับ:desc_fuzzy; เต้นสาก:desc_exact
47,ฟ้อนเจิง,"การต่อสู้, ชาวพื้นเมือง, ต่อสู้, ธงไทย, ภาคเหนือ, มือเปล่า, ล้านนา, อาวุธ",การต่อสู้:desc_exact; ชาวพื้นเมือง:desc_exact; ต่อสู้:desc_exact; ธงไทย:desc_fuzzy; ภาคเหนือ:desc_exact; มือเปล่า:desc_exact; ล้านนา:desc_exact; อาวุธ:desc_exact
48,ฟ้อนสาวไหม,"การทอ, ดนตรีพื้นบ้าน, ดนตรีไทย, ทอผ้า, ผ้าไหม, ภาคเหนือ, สะล้อ, เครื่องดนตรีพื้นบ้าน, เครื่องดนตรีพื้นเมือง, เพลงไทย",การทอ:desc_exact; ดนตรีพื้นบ้าน:desc_exact; ดนตรีไทย:desc_exact; ทอผ้า:desc_exact; ผ้าไหม:desc_exact; ภาคเหนือ:desc_exact; สะล้อ:desc_exact; เครื่องดนตรีพื้นบ้าน:desc_exact; เครื่องดนตรีพื้นเมือง:desc_exact; เพลงไทย:desc_exact
49,เซิ้งกระติบข้าว,"กระบวนท่ารำ, การดีด, การปั้น, ข้าวเหนียว, งานรื่นเริง, ชาวพื้นเมือง, ชาวภูไท, หญิงสาว, อาหาร",กระบวนท่ารำ:desc_fuzzy; การดีด:desc_exact; การปั้น:desc_exact; ข้าวเหนียว:desc_exact; งานรื่นเริง:desc_fuzzy; ชาวพื้นเมือง:name_fuzzy; ชาวภูไท:desc_exact; หญิงสาว:desc_exact; อาหาร:desc_exact
50,เซิ้งโปงลาง,"การเกี้ยวพาราสี, ชายหนุ่ม, ดนตรีพื้นบ้าน, ดนตรีไทย, ผู้แสดงฝ่ายหญิง, หญิงสาว, เครื่องดนตรีพื้นบ้าน, เครื่องดนตรีพื้นเมือง, โปงลาง",การเกี้ยวพาราสี:desc_fuzzy; ชายหนุ่ม:desc_exact; ดนตรีพื้นบ้าน:desc_exact; ดนตรีไทย:desc_exact; ผู้แสดงฝ่ายหญิง:desc_fuzzy; หญิงสาว:desc_exact; เครื่องดนตรีพื้นบ้าน:desc_exact; เครื่องดนตรีพื้นเมือง:desc_exact; โปงลาง:name_exact
51,เซิ้งสวิง,"กระบวนท่ารำ, การจับปลา, การทอ, ดนตรีพื้นบ้าน, ดนตรีไทย, ทางธรรมชาติ, ผู้แสดงฝ่ายหญิง, ภาคตะวันออกเฉียงเหนือ, สัตว์น้ำ, หยอกล้อ",กระบวนท่ารำ:desc_fuzzy; การจับปลา:desc_exact; การทอ:desc_fuzzy; ดนตรีพื้นบ้าน:desc_exact; ดนตรีไทย:desc_exact; ทางธรรมชาติ:desc_exact; ผู้แสดงฝ่ายหญิง:desc_fuzzy; ภาคตะวันออกเฉียงเหนือ:desc_exact; สัตว์น้ำ:desc_exact; หยอกล้อ:desc_exact
52,เซิ้งตังหวาย,"การขับร้อง, ขับร้อง, ขับลำ, ดนตรีพื้นบ้าน, ดนตรีไทย, ธงไทย, บทร้อง, ลำตังหวาย, ลำนำ, แม่น้ำ, แม่น้ำโขง",การขับร้อง:desc_exact; ขับร้อง:desc_exact; ขับลำ:desc_exact; ดนตรีพื้นบ้าน:desc_exact; ดนตรีไทย:desc_exact; ธงไทย:desc_fuzzy; บทร้อง:desc_fuzzy; ลำตังหวาย:name_fuzzy; ลำนำ:desc_exact; แม่น้ำ:desc_exact; แม่น้ำโขง:desc_exact
53,เซิ้งไทภูเขา,"กสิกรรม, ขอขมา, ชาวพื้นเมือง, ชาวภูไท, นางเอก, ผีภู, ภูเขา, ย่านาง, หน่อไม้, อาหาร, เจ้าที่เจ้าทาง, เดินทาง, เทือกเขาภูพาน, ไทภูเขา",กสิกรรม:desc_fuzzy; ขอขมา:desc_exact; ชาวพื้นเมือง:desc_exact; ชาวภูไท:desc_exact; นางเอก:desc_fuzzy; ผีภู:desc_exact; ภูเขา:name_exact; ย่านาง:desc_exact; หน่อไม้:desc_exact; อาหาร:desc_exact; เจ้าที่เจ้าทาง:desc_exact; เดินทาง:desc_exact; เทือกเขาภูพาน:desc_exact; ไทภูเขา:name_exact
54,ฟ้อนภูไท,"การรบ, กาฬสินธุ์, งานรื่นเริง, ชาวพื้นเมือง, ชาวภูไท, นครพนม, มุกดาหาร, สกลนคร, สายสืบ, อาหาร, เคลื่อนไหว, เทือกเขาภูพาน, แม่น้ำ, แม่น้ำโขง",การรบ:desc_fuzzy; กาฬสินธุ์:desc_exact; งานรื่นเริง:desc_fuzzy; ชาวพื้นเมือง:desc_exact; ชาวภูไท:desc_exact; นครพนม:desc_exact; มุกดาหาร:desc_exact; สกลนคร:desc_exact; สายสืบ:desc_exact; อาหาร:desc_fuzzy; เคลื่อนไหว:desc_exact; เทือกเขาภูพาน:desc_exact; แม่น้ำ:desc_exact; แม่น้ำโขง:desc_exact
