threshold,TP,FP,FN,Precision,Recall,F1,tp_name_exact,tp_name_fuzzy,tp_desc_exact,tp_desc_fuzzy,tp_name_semantic,tp_desc_semantic,tp_unknown_total,tp_exact_total,tp_fuzzy_total,tp_semantic_total
90,932,158,95,0.8550458715596331,0.9074975657254138,0.8804912612187058,82,0,846,4,0,0,0,928,4,0
95,932,145,95,0.8653667595171773,0.9074975657254138,0.8859315589353611,82,0,846,4,0,0,0,928,4,0
96,932,145,95,0.8653667595171773,0.9074975657254138,0.8859315589353611,82,0,846,4,0,0,0,928,4,0
97,932,145,95,0.8653667595171773,0.9074975657254138,0.8859315589353611,82,0,846,4,0,0,0,928,4,0
98,932,145,95,0.8653667595171773,0.9074975657254138,0.8859315589353611,82,0,846,4,0,0,0,928,4,0
99,932,145,95,0.8653667595171773,0.9074975657254138,0.8859315589353611,82,0,846,4,0,0,0,928,4,0
100,932,145,95,0.8653667595171773,0.9074975657254138,0.8859315589353611,82,0,846,4,0,0,0,928,4,0
