config,threshold,Precision,Recall,F1,TP,FP,FN,exact_ratio
exact_only,70,0.8648648648648649,0.9036027263875365,0.8838095238095237,928,145,99,1.0
exact_only,75,0.8648648648648649,0.9036027263875365,0.8838095238095237,928,145,99,1.0
exact_only,80,0.8648648648648649,0.9036027263875365,0.8838095238095237,928,145,99,1.0
exact_only,85,0.8648648648648649,0.9036027263875365,0.8838095238095237,928,145,99,1.0
exact_only,90,0.8648648648648649,0.9036027263875365,0.8838095238095237,928,145,99,1.0
exact_only,95,0.8648648648648649,0.9036027263875365,0.8838095238095237,928,145,99,1.0
exact_token,70,0.8574057037718491,0.9074975657254138,0.8817407757805109,932,155,95,0.9828
exact_token,75,0.858195211786372,0.9074975657254138,0.882158069096072,932,154,95,0.9854
exact_token,80,0.8637627432808156,0.9074975657254138,0.8850902184235517,932,147,95,0.9913
exact_token,85,0.8653667595171773,0.9074975657254138,0.8859315589353611,932,145,95,0.9939
exact_token,90,0.8653667595171773,0.9074975657254138,0.8859315589353611,932,145,95,0.9939
exact_token,95,0.8653667595171773,0.9074975657254138,0.8859315589353611,932,145,95,0.9939
exact_token_partial,70,0.5830721003134797,0.9055501460564752,0.7093821510297482,930,665,97,0.4739
exact_token_partial,75,0.622742474916388,0.9065238558909445,0.738302934179223,931,564,96,0.5786
exact_token_partial,80,0.7477982385908727,0.9094449853943525,0.820738137082601,934,315,93,0.7975
exact_token_partial,85,0.8411552346570397,0.9074975657254138,0.8730679156908665,932,176,95,0.9541
exact_token_partial,90,0.8550458715596331,0.9074975657254138,0.8804912612187058,932,158,95,0.9769
exact_token_partial,95,0.8653667595171773,0.9074975657254138,0.8859315589353611,932,145,95,0.9939
hybrid_dense,70,0.5280701754385965,0.8792599805258033,0.6598465473145779,903,807,124,0.0173
hybrid_dense,75,0.531578947368421,0.8851022395326192,0.6642309097552064,909,801,118,0.0176
hybrid_dense,80,0.5356725146198831,0.8919182083739046,0.669345999269273,916,794,111,0.0178
hybrid_dense,85,0.5409356725146199,0.9006815968841285,0.6759225429302155,925,785,102,0.018
hybrid_dense,90,0.5415204678362573,0.9016553067185978,0.6766532700036536,926,784,101,0.018
hybrid_dense,95,0.5415204678362573,0.9016553067185978,0.6766532700036536,926,784,101,0.0181
semantic_only,70,0.016374269005847954,0.027263875365141188,0.020460358056265983,28,1682,999,0.0
semantic_only,75,0.016374269005847954,0.027263875365141188,0.020460358056265983,28,1682,999,0.0
semantic_only,80,0.016374269005847954,0.027263875365141188,0.020460358056265983,28,1682,999,0.0
semantic_only,85,0.016374269005847954,0.027263875365141188,0.020460358056265983,28,1682,999,0.0
semantic_only,90,0.016374269005847954,0.027263875365141188,0.020460358056265983,28,1682,999,0.0
semantic_only,95,0.016374269005847954,0.027263875365141188,0.020460358056265983,28,1682,999,0.0
