Model,Seed,MAX_CANDS,best_b_cbf,best_val_nDCG@10,selection_metric,coverage_rate,feasible_nDCG@10,feasible_HR@10,feasible_MRR@10,feasible_cases,total_cases,best_b,best_l2_reg,best_cfg,best_alpha,best_k_rrf,model_family,model_name,is_selected_best,run_id,config_hash
CBF-multilingual-e5-large-instruct,555,,0.05,0.885442529932393,validation_nDCG@10,1.0,0.8694924466709699,0.967948717948718,0.8362179487179486,156,156,,,,,,CBF,multilingual-e5-large-instruct,True,ced76ac42907,20bb7f7d0845
CBF-bge-m3,42,20.0,0.1,0.873179766608209,validation_nDCG@10,0.9615384615384616,0.8730093176033673,0.9866666666666667,0.8355555555555555,150,156,,,,,,CBF,bge-m3,True,ced76ac42907,20bb7f7d0845
CBF-bge-m3,123,20.0,0.1,0.8464398893283825,validation_nDCG@10,0.9551282051282052,0.8624011555700828,1.0,0.8171780121444551,149,156,,,,,,CBF,bge-m3,True,ced76ac42907,20bb7f7d0845
CBF-bge-m3,999,20.0,0.1,0.8311178496780286,validation_nDCG@10,0.9807692307692307,0.8828343047255459,0.9869281045751634,0.8486461251167132,153,156,,,,,,CBF,bge-m3,True,ced76ac42907,20bb7f7d0845
CBF-bge-m3,2024,20.0,0.15,0.8585937379566884,validation_nDCG@10,0.9935897435897436,0.8923516183801309,0.9870967741935484,0.8606989247311828,155,156,,,,,,CBF,bge-m3,True,ced76ac42907,20bb7f7d0845
CBF-bge-m3,555,20.0,0.1,0.8737983008306655,validation_nDCG@10,0.9807692307692307,0.8923097142375571,0.9869281045751634,0.8617880485527543,153,156,,,,,,CBF,bge-m3,True,ced76ac42907,20bb7f7d0845
CBF-bge-m3,42,40.0,0.1,0.8232379931813156,validation_nDCG@10,1.0,0.8534556286370951,0.9871794871794872,0.8096942409442409,156,156,,,,,,CBF,bge-m3,True,ced76ac42907,20bb7f7d0845
CBF-bge-m3,123,40.0,0.1,0.8307667881296583,validation_nDCG@10,0.9871794871794872,0.8776724668470666,0.9935064935064936,0.8400510204081632,154,156,,,,,,CBF,bge-m3,True,ced76ac42907,20bb7f7d0845
CBF-bge-m3,999,40.0,0.1,0.8620796749969849,validation_nDCG@10,1.0,0.8614229162306096,0.9743589743589743,0.8243386243386244,156,156,,,,,,CBF,bge-m3,True,ced76ac42907,20bb7f7d0845
CBF-bge-m3,2024,40.0,0.1,0.88187676092552,validation_nDCG@10,0.9935897435897436,0.888360881735674,0.9806451612903225,0.857437275985663,155,156,,,,,,CBF,bge-m3,True,ced76ac42907,20bb7f7d0845
CBF-bge-m3,555,40.0,0.1,0.8570111532947289,validation_nDCG@10,0.9935897435897436,0.8739083019763194,0.9806451612903225,0.8397747055811571,155,156,,,,,,CBF,bge-m3,True,ced76ac42907,20bb7f7d0845
CBF-bge-m3,42,80.0,0.1,0.8702744835640258,validation_nDCG@10,1.0,0.8503022799874973,0.9807692307692307,0.8077075702075701,156,156,,,,,,CBF,bge-m3,True,ced76ac42907,20bb7f7d0845
CBF-bge-m3,123,80.0,0.1,0.8631194503411049,validation_nDCG@10,0.9935897435897436,0.8346777311363509,0.967741935483871,0.7912698412698411,155,156,,,,,,CBF,bge-m3,True,ced76ac42907,20bb7f7d0845
CBF-bge-m3,999,80.0,0.1,0.863762369052699,validation_nDCG@10,1.0,0.8578980241563932,0.9615384615384616,0.8233974358974359,156,156,,,,,,CBF,bge-m3,True,ced76ac42907,20bb7f7d0845
CBF-bge-m3,2024,80.0,0.1,0.8594785514117671,validation_nDCG@10,1.0,0.8696517572258115,0.9807692307692307,0.8327533577533578,156,156,,,,,,CBF,bge-m3,True,ced76ac42907,20bb7f7d0845
CBF-bge-m3,555,80.0,0.1,0.8659654917960006,validation_nDCG@10,1.0,0.8624959503841786,0.967948717948718,0.8279380341880341,156,156,,,,,,CBF,bge-m3,True,ced76ac42907,20bb7f7d0845
CBF-bge-m3,42,,0.15,0.8554248622506402,validation_nDCG@10,1.0,0.8730217964478695,0.9871794871794872,0.8354242979242977,156,156,,,,,,CBF,bge-m3,True,ced76ac42907,20bb7f7d0845
CBF-bge-m3,123,,0.1,0.863276333855654,validation_nDCG@10,1.0,0.8577438060482198,0.9487179487179487,0.8278388278388278,156,156,,,,,,CBF,bge-m3,True,ced76ac42907,20bb7f7d0845
CBF-bge-m3,999,,0.1,0.8443759688967994,validation_nDCG@10,1.0,0.8899680279259788,0.9807692307692307,0.8603428978428977,156,156,,,,,,CBF,bge-m3,True,ced76ac42907,20bb7f7d0845
CBF-bge-m3,2024,,0.15,0.8686338611302895,validation_nDCG@10,1.0,0.8871648955200738,0.9935897435897436,0.8521087708587709,156,156,,,,,,CBF,bge-m3,True,ced76ac42907,20bb7f7d0845
CBF-bge-m3,555,,0.1,0.8812921428626049,validation_nDCG@10,1.0,0.860112110840631,0.9615384615384616,0.8270197395197396,156,156,,,,,,CBF,bge-m3,True,ced76ac42907,20bb7f7d0845
CBF-SCT-KD-model-phayathaibert,42,20.0,0.3,0.8087817332933205,validation_nDCG@10,0.9615384615384616,0.8146316287133597,0.9733333333333334,0.7626746031746032,150,156,,,,,,CBF,SCT-KD-model-phayathaibert,True,ced76ac42907,20bb7f7d0845
CBF-SCT-KD-model-phayathaibert,123,20.0,0.3,0.7709860543250507,validation_nDCG@10,0.9551282051282052,0.8267116930539247,0.9932885906040269,0.7731596889315009,149,156,,,,,,CBF,SCT-KD-model-phayathaibert,True,ced76ac42907,20bb7f7d0845
