seed,MAX_CANDS,user,model,target,rank,HR@10,MRR@10,nDCG@10,feasible
42,20,ราชการ16,CBF-multilingual-e5-large-instruct,ระบำศรีวิชัย,1,1.0,1.0,1.0,1
42,20,ราชการ17,CBF-multilingual-e5-large-instruct,นาฏยมวยไทย,1,1.0,1.0,1.0,1
42,20,ราชการ18,CBF-multilingual-e5-large-instruct,รำพลายชุมพล,2,1.0,0.5,0.6309297535714575,1
42,20,ราชการ19,CBF-multilingual-e5-large-instruct,กินนรีร่อนออกมโนราห์บูชายัญ,1,1.0,1.0,1.0,1
42,20,ราชการ2,CBF-multilingual-e5-large-instruct,การแสดงโขนเรื่องรามเกียรติ์ ตอน ขับพิเภก,1,1.0,1.0,1.0,1
42,20,ราชการ20,CBF-multilingual-e5-large-instruct,กินนรีร่อนออกมโนราห์บูชายัญ,2,1.0,0.5,0.6309297535714575,1
42,20,ราชการ21,CBF-multilingual-e5-large-instruct,การแสดงโขนเรื่องรามเกียรติ์ ตอน พระรามตามกวาง,3,1.0,0.3333333333333333,0.5,1
42,20,ราชการ22,CBF-multilingual-e5-large-instruct,การแสดงโขนเรื่องรามเกียรติ์ ตอน ศึกแสงอาทิตย์,5,1.0,0.2,0.38685280723454163,1
42,20,ราชการ23,CBF-multilingual-e5-large-instruct,นาฏยมวยไทย,1,1.0,1.0,1.0,1
42,20,ราชการ24,CBF-multilingual-e5-large-instruct,กินนรีร่อนออกมโนราห์บูชายัญ,2,1.0,0.5,0.6309297535714575,1
42,20,ราชการ25,CBF-multilingual-e5-large-instruct,ฟ้อนสาวไหม,1,1.0,1.0,1.0,1
42,20,ราชการ26,CBF-multilingual-e5-large-instruct,ฟ้อนสาวไหม,1,1.0,1.0,1.0,1
42,20,ราชการ27,CBF-multilingual-e5-large-instruct,กินนรีร่อนออกมโนราห์บูชายัญ,1,1.0,1.0,1.0,1
42,20,ราชการ28,CBF-multilingual-e5-large-instruct,การแสดงโขนเรื่องรามเกียรติ์ ตอน ขับพิเภก,1,1.0,1.0,1.0,1
42,20,ราชการ3,CBF-multilingual-e5-large-instruct,ระบำสุโขทัย,1,1.0,1.0,1.0,1
42,20,ราชการ4,CBF-multilingual-e5-large-instruct,กินนรีร่อนออกมโนราห์บูชายัญ,1,1.0,1.0,1.0,1
42,20,ราชการ5,CBF-multilingual-e5-large-instruct,การแสดงโขนเรื่องรามเกียรติ์ ตอน พระรามตามกวาง,4,1.0,0.25,0.43067655807339306,1
42,20,ราชการ6,CBF-multilingual-e5-large-instruct,กินนรีร่อนออกมโนราห์บูชายัญ,2,1.0,0.5,0.6309297535714575,1
42,20,ราชการ7,CBF-multilingual-e5-large-instruct,ชาติพันธุ์สราญ,1,1.0,1.0,1.0,1
42,20,ราชการ8,CBF-multilingual-e5-large-instruct,ฟ้อนดวงเดือน,1,1.0,1.0,1.0,1
42,20,ราชการ9,CBF-multilingual-e5-large-instruct,การแสดงโขนเรื่องรามเกียรติ์ ตอน พระรามตามกวาง,1,1.0,1.0,1.0,1
42,20,องค์การระหว่างประเทศ1,CBF-multilingual-e5-large-instruct,จตุรภาคี,2,1.0,0.5,0.6309297535714575,1
42,20,องค์การระหว่างประเทศ11,CBF-multilingual-e5-large-instruct,เซิ้งไทภูเขา,1,1.0,1.0,1.0,1
42,20,องค์การระหว่างประเทศ12,CBF-multilingual-e5-large-instruct,กินนรีร่อนออกมโนราห์บูชายัญ,1,1.0,1.0,1.0,1
42,20,องค์การระหว่างประเทศ13,CBF-multilingual-e5-large-instruct,เจ้าพระยานที,1,1.0,1.0,1.0,1
42,20,องค์การระหว่างประเทศ14,CBF-multilingual-e5-large-instruct,ฟ้อนหมากกั๊บแก๊บลำเพลิน,1,1.0,1.0,1.0,1
42,20,องค์การระหว่างประเทศ15,CBF-multilingual-e5-large-instruct,โนรา,1,1.0,1.0,1.0,1
42,20,องค์การระหว่างประเทศ16,CBF-multilingual-e5-large-instruct,รำพลายชุมพล,1,1.0,1.0,1.0,1
42,20,องค์การระหว่างประเทศ17,CBF-multilingual-e5-large-instruct,มวยคาดเชือก,1,1.0,1.0,1.0,1
42,20,องค์การระหว่างประเทศ18,CBF-multilingual-e5-large-instruct,ผืนไท,1,1.0,1.0,1.0,1
42,20,องค์การระหว่างประเทศ19,CBF-multilingual-e5-large-instruct,มวยคาดเชือก,1,1.0,1.0,1.0,1
42,20,องค์การระหว่างประเทศ2,CBF-multilingual-e5-large-instruct,การแสดงโขนเรื่องรามเกียรติ์ ชุดยกรบ,1,1.0,1.0,1.0,1
42,20,องค์การระหว่างประเทศ20,CBF-multilingual-e5-large-instruct,การแสดงโขนเรื่องรามเกียรติ์ ตอน สามจับ,2,1.0,0.5,0.6309297535714575,1
42,20,องค์การระหว่างประเทศ21,CBF-multilingual-e5-large-instruct,ผืนไท,1,1.0,1.0,1.0,1
42,20,องค์การระหว่างประเทศ22,CBF-multilingual-e5-large-instruct,ผืนไท,1,1.0,1.0,1.0,1
42,20,องค์การระหว่างประเทศ23,CBF-multilingual-e5-large-instruct,เมขลา รามสูร,1,1.0,1.0,1.0,1
42,20,องค์การระหว่างประเทศ24,CBF-multilingual-e5-large-instruct,เมขลา รามสูร,1,1.0,1.0,1.0,1
42,20,องค์การระหว่างประเทศ25,CBF-multilingual-e5-large-instruct,ผืนไท,1,1.0,1.0,1.0,1
42,20,องค์การระหว่างประเทศ26,CBF-multilingual-e5-large-instruct,เมขลา รามสูร,1,1.0,1.0,1.0,1
42,20,องค์การระหว่างประเทศ27,CBF-multilingual-e5-large-instruct,รำมโนห์ราบูชายัญ,1,1.0,1.0,1.0,1
42,20,องค์การระหว่างประเทศ3,CBF-multilingual-e5-large-instruct,การแสดงโขนเรื่องรามเกียรติ์ ตอน พระรามตามกวาง,4,1.0,0.25,0.43067655807339306,1
42,20,องค์การระหว่างประเทศ4,CBF-multilingual-e5-large-instruct,เซิ้งตังหวาย,1,1.0,1.0,1.0,1
42,20,องค์การระหว่างประเทศ5,CBF-multilingual-e5-large-instruct,จตุรภาคี,1,1.0,1.0,1.0,1
42,20,องค์การระหว่างประเทศ6,CBF-multilingual-e5-large-instruct,เจ้าพระยานที,1,1.0,1.0,1.0,1
42,20,องค์การระหว่างประเทศ7,CBF-multilingual-e5-large-instruct,การแสดงโขนเรื่องรามเกียรติ์ ชุดยกรบ,1,1.0,1.0,1.0,1
42,20,องค์การระหว่างประเทศ8,CBF-multilingual-e5-large-instruct,การแสดงโขนเรื่องรามเกียรติ์ ตอน พระรามตามกวาง,1,1.0,1.0,1.0,1
42,20,องค์การระหว่างประเทศ9,CBF-multilingual-e5-large-instruct,การแสดงโขนเรื่องรามเกียรติ์ ตอน จองถนน,1,1.0,1.0,1.0,1
42,20,เอกชน1,CBF-multilingual-e5-large-instruct,การแสดงโขนเรื่องรามเกียรติ์ ตอน สามจับ,2,1.0,0.5,0.6309297535714575,1
42,20,เอกชน10,CBF-multilingual-e5-large-instruct,ฟ้อนเล็บ,1,1.0,1.0,1.0,1
42,20,เอกชน11,CBF-multilingual-e5-large-instruct,รำซัดชาตรี,1,1.0,1.0,1.0,1
42,20,เอกชน12,CBF-multilingual-e5-large-instruct,การแสดงโขนเรื่องรามเกียรติ์ ตอน ลักสีดา,2,1.0,0.5,0.6309297535714575,1
42,20,เอกชน13,CBF-multilingual-e5-large-instruct,ฟ้อนภูไท 3 เผ่า,1,1.0,1.0,1.0,1
42,20,เอกชน14,CBF-multilingual-e5-large-instruct,การแสดงโขนเรื่องรามเกียรติ์ ตอน ศึกวิรุญจำบัง,1,1.0,1.0,1.0,1
42,20,เอกชน15,CBF-multilingual-e5-large-instruct,ฟ้อนดวงเดือน,1,1.0,1.0,1.0,1
42,20,เอกชน16,CBF-multilingual-e5-large-instruct,ฟ้อนดวงเดือน,1,1.0,1.0,1.0,1
42,20,เอกชน17,CBF-multilingual-e5-large-instruct,การแสดงโขนเรื่องรามเกียรติ์ ตอน ขับพิเภก,2,1.0,0.5,0.6309297535714575,1
42,20,เอกชน18,CBF-multilingual-e5-large-instruct,วิรัชสราญรมย์,3,1.0,0.3333333333333333,0.5,1
42,20,เอกชน2,CBF-multilingual-e5-large-instruct,กินนรีร่อนออกมโนราห์บูชายัญ,1,1.0,1.0,1.0,1
42,20,เอกชน20,CBF-multilingual-e5-large-instruct,ฟ้อนดวงเดือน,1,1.0,1.0,1.0,1
42,20,เอกชน21,CBF-multilingual-e5-large-instruct,การแสดงโขนเรื่องรามเกียรติ์ ตอน ศึกวิรุญจำบัง,1,1.0,1.0,1.0,1
42,20,เอกชน22,CBF-multilingual-e5-large-instruct,การแสดงโขนเรื่องรามเกียรติ์ ตอน ศึกพรหมาสตร์,1,1.0,1.0,1.0,1
42,20,เอกชน23,CBF-multilingual-e5-large-instruct,ฟ้อนรัก,1,1.0,1.0,1.0,1
42,20,เอกชน24,CBF-multilingual-e5-large-instruct,การแสดงโขนเรื่องรามเกียรติ์ ตอน ขับพิเภก,1,1.0,1.0,1.0,1
42,20,เอกชน25,CBF-multilingual-e5-large-instruct,ฟ้อนรัก,1,1.0,1.0,1.0,1
42,20,เอกชน26,CBF-multilingual-e5-large-instruct,ฟ้อนรัก,1,1.0,1.0,1.0,1
42,20,เอกชน27,CBF-multilingual-e5-large-instruct,การแสดงโขนเรื่องรามเกียรติ์ ตอน พระรามตามกวาง,3,1.0,0.3333333333333333,0.5,1
42,20,เอกชน28,CBF-multilingual-e5-large-instruct,ผืนไท,1,1.0,1.0,1.0,1
42,20,เอกชน29,CBF-multilingual-e5-large-instruct,รองเง็ง,2,1.0,0.5,0.6309297535714575,1
42,20,เอกชน3,CBF-multilingual-e5-large-instruct,การแสดงโขนเรื่องรามเกียรติ์ ตอน นางลอย,1,1.0,1.0,1.0,1
42,20,เอกชน30,CBF-multilingual-e5-large-instruct,ผืนไท,1,1.0,1.0,1.0,1
42,20,เอกชน31,CBF-multilingual-e5-large-instruct,รำมโนห์ราบูชายัญ,1,1.0,1.0,1.0,1
42,20,เอกชน33,CBF-multilingual-e5-large-instruct,การแสดงโขนเรื่องรามเกียรติ์ ตอน สามจับ,2,1.0,0.5,0.6309297535714575,1
42,20,เอกชน34,CBF-multilingual-e5-large-instruct,รองเง็ง,3,1.0,0.3333333333333333,0.5,1
42,20,เอกชน35,CBF-multilingual-e5-large-instruct,พลองไม้สั้น,1,1.0,1.0,1.0,1
42,20,เอกชน37,CBF-multilingual-e5-large-instruct,รำวงมาตรฐาน,1,1.0,1.0,1.0,1
42,20,เอกชน38,CBF-multilingual-e5-large-instruct,พลองไม้สั้น,1,1.0,1.0,1.0,1
42,20,เอกชน39,CBF-multilingual-e5-large-instruct,พลองไม้สั้น,1,1.0,1.0,1.0,1
42,20,เอกชน4,CBF-multilingual-e5-large-instruct,ฟ้อนที,1,1.0,1.0,1.0,1
42,20,เอกชน41,CBF-multilingual-e5-large-instruct,พลองไม้สั้น,2,1.0,0.5,0.6309297535714575,1
42,20,เอกชน42,CBF-multilingual-e5-large-instruct,ล่องใต้,1,1.0,1.0,1.0,1
42,20,เอกชน43,CBF-multilingual-e5-large-instruct,ระบำกรับ,1,1.0,1.0,1.0,1
42,20,เอกชน44,CBF-multilingual-e5-large-instruct,ระบำกรับ,1,1.0,1.0,1.0,1
42,20,เอกชน45,CBF-multilingual-e5-large-instruct,ล่องใต้,1,1.0,1.0,1.0,1
42,20,เอกชน46,CBF-multilingual-e5-large-instruct,ระบำกินรีร่อน,1,1.0,1.0,1.0,1
42,20,เอกชน47,CBF-multilingual-e5-large-instruct,ระบำกินรีร่อน,1,1.0,1.0,1.0,1
42,20,เอกชน48,CBF-multilingual-e5-large-instruct,ฟ้อนขันดอก,1,1.0,1.0,1.0,1
42,20,เอกชน49,CBF-multilingual-e5-large-instruct,กินนรีร่อนออกมโนราห์บูชายัญ,1,1.0,1.0,1.0,1
42,20,เอกชน5,CBF-multilingual-e5-large-instruct,ระบำตารีกีปัส,1,1.0,1.0,1.0,1
42,20,เอกชน50,CBF-multilingual-e5-large-instruct,เจ้าพระยานที,1,1.0,1.0,1.0,1
42,20,เอกชน51,CBF-multilingual-e5-large-instruct,ฟ้อนจันทราพาฝัน,1,1.0,1.0,1.0,1
42,20,เอกชน52,CBF-multilingual-e5-large-instruct,เซิ้งตังหวาย,1,1.0,1.0,1.0,1
42,20,เอกชน53,CBF-multilingual-e5-large-instruct,รำวงมาตรฐาน,1,1.0,1.0,1.0,1
42,20,เอกชน54,CBF-multilingual-e5-large-instruct,ระบำเก็บใบชา,1,1.0,1.0,1.0,1
42,20,เอกชน55,CBF-multilingual-e5-large-instruct,ฟ้อนภูไท,1,1.0,1.0,1.0,1
42,20,เอกชน56,CBF-multilingual-e5-large-instruct,รองเง็ง,1,1.0,1.0,1.0,1
42,20,เอกชน57,CBF-multilingual-e5-large-instruct,ฟ้อนเจิง,2,1.0,0.5,0.6309297535714575,1
42,20,เอกชน58,CBF-multilingual-e5-large-instruct,ลายเกราะ,3,1.0,0.3333333333333333,0.5,1
42,20,เอกชน59,CBF-multilingual-e5-large-instruct,ระบำศรีชยสิงห์,1,1.0,1.0,1.0,1
42,20,เอกชน60,CBF-multilingual-e5-large-instruct,ระบำตารีกีปัส,1,1.0,1.0,1.0,1
42,20,เอกชน61,CBF-multilingual-e5-large-instruct,กรุงเทพ,1,1.0,1.0,1.0,1
42,20,เอกชน7,CBF-multilingual-e5-large-instruct,การแสดงโขนเรื่องรามเกียรติ์ ชุดยกรบ,1,1.0,1.0,1.0,1
42,20,เอกชน8,CBF-multilingual-e5-large-instruct,กรุงเทพ,1,1.0,1.0,1.0,1
42,20,เอกชน9,CBF-multilingual-e5-large-instruct,กินนรีร่อนออกมโนราห์บูชายัญ,1,1.0,1.0,1.0,1
123,20,บุคคล1,CBF-multilingual-e5-large-instruct,การแสดงโขนเรื่องรามเกียรติ์ ตอน นางลอย,1,1.0,1.0,1.0,1
123,20,บุคคล10,CBF-multilingual-e5-large-instruct,การแสดงโขนเรื่องรามเกียรติ์ ตอน นางลอย,1,1.0,1.0,1.0,1
