seed,MAX_CANDS,user_bin,model,nDCG@10_mean,HR@10_mean,MRR@10_mean,n_users
555,20,mid,CBF-wangchanberta-base-att-spm-uncased,0.7526824859729876,0.9710144927536232,0.6823844030365769,69
42,20,heavy,CBF-wangchanberta-base-att-spm-uncased,0.7439798094906505,1.0,0.6618686868686868,22
123,20,heavy,CBF-wangchanberta-base-att-spm-uncased,0.7646013426719249,1.0,0.6879329004329003,22
999,20,heavy,CBF-wangchanberta-base-att-spm-uncased,0.6982753520384658,0.9545454545454546,0.6171536796536796,22
2024,20,heavy,CBF-wangchanberta-base-att-spm-uncased,0.8620119584956722,1.0,0.817099567099567,22
555,20,heavy,CBF-wangchanberta-base-att-spm-uncased,0.744729780838103,0.9545454545454546,0.6772727272727272,22
42,20,cold,CF-EASE_R,0.6513141633345803,0.9180327868852459,0.5632903981264636,61
123,20,cold,CF-EASE_R,0.6833952930451082,0.9661016949152542,0.5929849340866289,59
999,20,cold,CF-EASE_R,0.6979807233050824,0.9841269841269841,0.605920886873268,63
2024,20,cold,CF-EASE_R,0.645048211424313,0.953125,0.546875,64
555,20,cold,CF-EASE_R,0.6578641373093407,0.8870967741935484,0.5848566308243728,62
42,20,mid,CF-EASE_R,0.6298965432684155,0.8955223880597015,0.5449597251836059,67
123,20,mid,CF-EASE_R,0.6676970617926317,0.9558823529411765,0.5779353408029878,68
999,20,mid,CF-EASE_R,0.6560689588600415,0.9558823529411765,0.5615021008403361,68
2024,20,mid,CF-EASE_R,0.6563825150861619,0.927536231884058,0.5709914883827928,69
555,20,mid,CF-EASE_R,0.6224173770182234,0.9130434782608695,0.5289740050609616,69
42,20,heavy,CF-EASE_R,0.5849071005967663,0.8636363636363636,0.4944444444444444,22
123,20,heavy,CF-EASE_R,0.6580866078528861,1.0,0.552020202020202,22
999,20,heavy,CF-EASE_R,0.5485313610123841,0.8636363636363636,0.4528138528138527,22
2024,20,heavy,CF-EASE_R,0.6025307369756894,0.9545454545454546,0.4898268398268399,22
555,20,heavy,CF-EASE_R,0.5728724446581039,0.8181818181818182,0.49323593073593075,22
42,20,cold,CF-BiasedMF,0.6646255325162304,1.0,0.5602589123080927,61
123,20,cold,CF-BiasedMF,0.6351600400692082,0.9661016949152542,0.5308044121603444,59
999,20,cold,CF-BiasedMF,0.6523709191076946,0.9841269841269841,0.5489103048626859,63
2024,20,cold,CF-BiasedMF,0.7011350307279209,1.0,0.6045076884920635,64
555,20,cold,CF-BiasedMF,0.6295252932956883,0.967741935483871,0.5191244239631336,62
42,20,mid,CF-BiasedMF,0.6232634680807052,0.9402985074626866,0.5234778488509831,67
123,20,mid,CF-BiasedMF,0.5871672068462463,0.9558823529411765,0.4739670868347338,68
999,20,mid,CF-BiasedMF,0.5625141059187128,0.9411764705882353,0.44510971055088705,68
2024,20,mid,CF-BiasedMF,0.5630278953437433,0.8695652173913043,0.46853002070393385,69
555,20,mid,CF-BiasedMF,0.6190715219856042,0.9420289855072463,0.5181101909362779,69
42,20,heavy,CF-BiasedMF,0.571197910074869,0.9090909090909091,0.46558441558441555,22
123,20,heavy,CF-BiasedMF,0.5822347737565123,0.9545454545454546,0.4748556998556998,22
999,20,heavy,CF-BiasedMF,0.5756222964027949,0.9545454545454546,0.4623015873015873,22
2024,20,heavy,CF-BiasedMF,0.4870100534324288,0.9090909090909091,0.3588744588744589,22
555,20,heavy,CF-BiasedMF,0.6514078970539983,0.9090909090909091,0.5752886002886003,22
42,20,cold,CF-BiasedMF-BPR,0.5263434535242897,0.8852459016393442,0.41137782982045273,61
123,20,cold,CF-BiasedMF-BPR,0.47954051281817506,0.8305084745762712,0.3708165186978747,59
999,20,cold,CF-BiasedMF-BPR,0.4692021615211302,0.8571428571428571,0.3507621567145377,63
2024,20,cold,CF-BiasedMF-BPR,0.5206510386807623,0.859375,0.41603422619047625,64
555,20,cold,CF-BiasedMF-BPR,0.6305575710173478,0.967741935483871,0.5236239119303637,62
42,20,mid,CF-BiasedMF-BPR,0.5308798835476688,0.8805970149253731,0.42117981520966596,67
123,20,mid,CF-BiasedMF-BPR,0.5047002633456417,0.8823529411764706,0.3850957049486461,68
999,20,mid,CF-BiasedMF-BPR,0.5121115216277362,0.9264705882352942,0.38307656395891687,68
2024,20,mid,CF-BiasedMF-BPR,0.5583036839944029,0.8840579710144928,0.45679204048769256,69
555,20,mid,CF-BiasedMF-BPR,0.5335086092535772,0.8985507246376812,0.41825971934667583,69
42,20,heavy,CF-BiasedMF-BPR,0.44694040167717225,0.8181818181818182,0.3318722943722944,22
123,20,heavy,CF-BiasedMF-BPR,0.3674235392133912,0.7272727272727273,0.257449494949495,22
999,20,heavy,CF-BiasedMF-BPR,0.3677124674406341,0.7727272727272727,0.24621212121212127,22
2024,20,heavy,CF-BiasedMF-BPR,0.3596777694014322,0.8181818181818182,0.22256493506493505,22
555,20,heavy,CF-BiasedMF-BPR,0.5957717951278837,0.8181818181818182,0.5267676767676768,22
42,20,cold,CF-ItemKNN,0.8431053888276675,1.0,0.7908469945355191,61
123,20,cold,CF-ItemKNN,0.833801305845422,1.0,0.779708097928437,59
999,20,cold,CF-ItemKNN,0.8246295524875227,0.9841269841269841,0.7718883849836232,63
2024,20,cold,CF-ItemKNN,0.8301631434180519,0.984375,0.7770833333333333,64
555,20,cold,CF-ItemKNN,0.8039760573540405,0.9838709677419355,0.7438812083973375,62
42,20,mid,CF-ItemKNN,0.844227948972098,0.9850746268656716,0.7995202558635395,67
123,20,mid,CF-ItemKNN,0.8122883035763304,0.9705882352941176,0.7600898692810457,68
999,20,mid,CF-ItemKNN,0.8377053458418176,0.9852941176470589,0.7883986928104576,68
2024,20,mid,CF-ItemKNN,0.7668316471237393,0.9565217391304348,0.7039452495974237,69
555,20,mid,CF-ItemKNN,0.7849790181817023,0.9855072463768116,0.7187370600414078,69
42,20,heavy,CF-ItemKNN,0.7813570467742863,1.0,0.7109848484848484,22
123,20,heavy,CF-ItemKNN,0.8089738467615869,0.9545454545454546,0.7606060606060605,22
999,20,heavy,CF-ItemKNN,0.7942428301048792,1.0,0.7287878787878787,22
2024,20,heavy,CF-ItemKNN,0.820165998152529,1.0,0.7617965367965368,22
555,20,heavy,CF-ItemKNN,0.8429555021026952,1.0,0.7964466089466089,22
42,20,cold,CF-SimpleX,0.8192546829588299,0.9672131147540983,0.770264116575592,61
123,20,cold,CF-SimpleX,0.7524695196244855,0.9661016949152542,0.6843825665859565,59
999,20,cold,CF-SimpleX,0.7777134572395613,0.9841269841269841,0.7118354749307131,63
2024,20,cold,CF-SimpleX,0.760307504524685,1.0,0.6815290178571429,64
555,20,cold,CF-SimpleX,0.8108793913452518,0.967741935483871,0.7588709677419355,62
42,20,mid,CF-SimpleX,0.7740170591139827,0.9701492537313433,0.7099680170575693,67
123,20,mid,CF-SimpleX,0.7215271892478405,0.9558823529411765,0.6441584967320262,68
999,20,mid,CF-SimpleX,0.7147566041562348,0.9411764705882353,0.6394607843137255,68
2024,20,mid,CF-SimpleX,0.775409877417294,0.9710144927536232,0.7121290545203589,69
555,20,mid,CF-SimpleX,0.7303793320568259,0.9855072463768116,0.6481251437773178,69
42,20,heavy,CF-SimpleX,0.6927854235245744,0.9090909090909091,0.6212121212121212,22
123,20,heavy,CF-SimpleX,0.6289305526371313,0.9090909090909091,0.5405844155844156,22
999,20,heavy,CF-SimpleX,0.7599275210802705,0.9545454545454546,0.6958874458874459,22
2024,20,heavy,CF-SimpleX,0.7515356565822761,1.0,0.6681818181818182,22
555,20,heavy,CF-SimpleX,0.7223995118506533,0.8181818181818182,0.6893939393939393,22
42,20,cold,POP-Global,0.260557217724414,0.5409836065573771,0.17797293780900333,61
123,20,cold,POP-Global,0.3063667649452326,0.559322033898305,0.22942561205273068,59
999,20,cold,POP-Global,0.235864544912068,0.5079365079365079,0.1546485260770975,63
2024,20,cold,POP-Global,0.2559764662401051,0.546875,0.1710813492063492,64
555,20,cold,POP-Global,0.3237838018829367,0.6129032258064516,0.2378200204813108,62
42,20,mid,POP-Global,0.35761061980976044,0.6865671641791045,0.2572198531153755,67
123,20,mid,POP-Global,0.29519347903476845,0.6470588235294118,0.18894140989729222,68
999,20,mid,POP-Global,0.37114826250897703,0.75,0.25727707749766576,68
