word,cluster_label
แสงอาทิตย์,0
กลางอากาศ,3
ต้นลีลาวดี,0
หนังใหญ่,3
มหาสมุทร,1
กินรี,1
อาณาประชาราษฎร์,3
ระบำมาตรฐาน,0
เกราะลอ,1
เมขลา,1
บุรีรัมย์,1
ฉุยฉาย,3
ทะเล,3
กินเนสส์บุ๊ค,1
ท้องทะเล,3
ใบชา,0
ตะกร้อ,0
ดอกไม้,1
โปงลาง,0
ชาวนา,0
วิชนี,0
พรหมาสตร์,1
นางสวาหะ,2
ตอนนี้,2
ลายเส้น,2
สงคราม,0
วันทอง,0
นาฏศิลป์อินเดีย,3
แว่นแก้วสุรกานต์,1
อุปราช,2
ภาคเหนือ,3
เพลงคืนเดือนหงาย,3
ฤดูฝน,0
เทพนิยาย,0
โอรส,2
เขาไกลลาศ,1
ไทยอมรินทร์,2
พวงมาลัย,0
กาญจนบุรี,2
มารีศ,1
อินโดนีเซีย,0
โปรตุเกส,3
ภาพจำหลัก,0
การเก็บใบชา,0
บุตรชาย,1
วังหน้า,2
กากนาสูร,1
รจนา,1
กวางทอง,0
นิลพาหุ,1
พระเจ้าชัยวรมัน,2
ภาคใต้,3
กรมศิลปากร,3
บูชาครู,0
กาลสูร,3
ลอยกระทง,1
ตัวพระ,0
วิรุญจำบัง,3
พื้นผิว,2
ปราสาทเมืองสิงห์,2
ปราสาทหินพิมาย,0
รามเกียรติ์,0
การเกี้ยวพาราสี,1
ไทยบรมพิมาน,2
การทอ,3
วานร,1
โกเมน,1
กรับพวง,3
ไทยจักรพรรดิ์,2
จีนรัว,0
มณีพิชัย,2
แมนสรวง,0
สวามิภักดิ์,2
สำเนียง,0
พาลี,3
นครศรีธรรมราช,2
ผางประทีป,0
โอดิสสี,2
กุมภกรรณ,2
พญาผานอง,0
ละครดึกดำบรรพ์,0
เขาสัตภัณฑ์,3
ไทภูเขา,0
ชามพูวราช,0
พระลักษมณ์,1
จารึก,3
ข่ายเพชร,0
รามสูร,2
ศรพรหมาสตร์,2
งานแต่งงาน,1
ปราสาทพระขรรค์,2
รำเดี่ยว,0
หนุมาน,1
เวที,3
รำพัด,0
รุทการ,3
เชิงมวย,0
เชียงใหม่,3
เพลงอัตราจังหวะสองชั้น,1
ศิลปกรรม,2
ประติมากรรม,3
ภาษามลายู,3
ย่องหงิด,3
พิธี,1
ร่มพระบารมี,0
พระสังข์,0
เบญกาย,0
พระไวย,2
ยอพระกลิ่น,2
พระเพื่อน,2
พระแพง,0
นางโรย,3
อุษา,1
ธิเบศร์,3
นายแก้ว,0
นางรื่น,1
แควน้อย,1
เมืองขีดขิน,2
เมืองชมพู,0
เต้นสาก,3
ลำเพลิน,2
